Infinitiv,Partizip Perfekt,Passivform,Zu-Infinitiv,Nominalisierung,Typ,Definition,Synonyme,UUID
installieren,installiert,installiert wird,zu installieren,Installation,Prozess,"Die Anforderung ist erfüllt, wenn der im Ergebnis benannte Betrachtungsgegenstand an der ebenfalls benannten Stelle eingerichtet wurde und funktionsfähig ist, z.B. die Installation und Aktivierung einer Einbruchmeldeanlage in einem Serverraum. Um die Anforderung zu erfüllen muss das Zielobjekt der Funktion, zu der es bestimmt ist, auch nachkommen. Z.B. gilt die Anforderung bei einer Einbruchmeldeanlage erst dann als erfüllt, wenn diese Anzeichen für Einbrüche auch tatsächlich an zuständige Stellen meldet.",,8e432bcd-2e41-444d-98d4-c4dbbdc9e575
löschen,gelöscht,gelöscht wird,zu löschen,Löschung,Prozess,Daten werden unlesbar gemacht.,,78d93859-b886-4145-9dd8-201869ce158e
platzieren,platziert,platziert wird,zu platzieren,Platzierung,Prozess,"Der Betrachtungsgegenstand positioniert einen anderen Betrachtungsgegenstand an einer in der Anforderung festgelegten Stelle oder einem Bereich. Das Prozesswort wird in der Regel im Bereich der Netzarchitektur, der Infrastruktur oder bei der Positionierung von IT-Systemen verwendet. Existiert im Informationsverbund der Betrachtungsgegenstand nicht, so ist die Anforderung entbehrlich.",,fec950b7-8c2d-4060-b4ff-d7276f0f9a56
protokollieren,protokolliert,protokolliert wird,zu protokollieren,Protokollierung,Automatisiert,"In der Anforderung benannte Ereignisse werden automatisch auf einem dauerhaften Datenträger so festgehalten, dass sie im Falle eines Sicherheitsvorfalles ausgewertet werden können. ""Protokollieren"" darf nur dann verwendet werden, wenn die Aktion von einem technischen Betrachtungsgegenstand (auch als Prozessziel) durchgeführt wird. Falls ein Ereignis von Mitarbeitenden festgehalten werden soll, darf ""protokollieren"" nicht verwendet werden. In diesem Fall ist das Handlungswort ""dokumentieren"" zu verwenden. Eine Verwendung, bei der es darum geht, dass eine menschliche Aktion automatisch festgehalten wird, ist jedoch ausdrücklich vorgesehen. Speicherfristen für Protokollierungsdaten ergeben sich sowohl aus dem zu erwartenden Zeithorizont zwischen Vorfall und Auswertung, als auch aus den gesetzlichen Vorgaben für Speicherfristen, z.B. im Bereich personenbezogener Daten.","aufzeichne, automatisch dokumentiere",fe0c8466-8c0d-450b-a649-02c11e0231f8
sensibilisieren,sensibilisiert,sensbilisiert wird,zu sensibilisieren,Sensibilisiert,Parameter,"Alle Nutzenden werden auf eine bestimmte Gefahr oder eine Sicherheitsmaßnahme hingewiesen. In der Regel wird dies durch die Sensibilisierungspraktik erreicht. ""Sensibilisieren"" ist daher nur in dieser Praktik zu verwenden.","belehre, aufmerksam mache, hinweise, aufzeige, ins Bewusstsein rücke",f1ccced2-5385-4c15-9cb4-3c97c495b76b
testen,getestet,getestet wird,zu testen,Testung,Prozess,"Ein in der Anforderung definierter Zustand, ein Ergebnis oder ein Betrachtungsgegenstand wurde einmalig pro Ereignis daraufhin untersucht, dass es keine Abweichungen zum erwarteten Zustand oder Verhalten gibt. Dabei ist davon auszugehen, dass der erwartete Zustand im Allgemeinen als sicher anzusehen ist. Wird dabei die Schädlichkeit des Zustands festgestellt, so wird diese behandelt. In der Regel sind Tests vor einer produktiven Nutzung der betroffenen Betrachtungsgegenstände durchzuführen. Die Anforderung muss hierbei sowohl den Zeitpunkt des Ereignisses (""vor der Installation"") als auch den Inhalt des Tests (""Integrität der Installationdateien"") beschreiben.",,db5f9334-97d0-4326-80f0-176348a3f165
überprüfen,überprüft,überprüft wird,zu überprüfen,Überprüfung,Prozess,"Tätigkeit, die durchgeführt wird, um die Eignung, Angemessenheit und Wirksamkeit eines Gegenstands (z.?B. einer Anlage, Maschine oder eines Verfahrens) zu bestimmen, um die Einhaltung der Anforderung (Konformität) eindeutig festzustellen oder im Falle von Abweichungen wiederherzustellen. Sichergestellt sein muss dabei insbesondere, dass die Regelmäßigkeit der Überprüfung gewährleistet wird, z.B. durch einen Kalendereintrag oder ein automatisiertes System zur Überprüfung und Alarmierung.
Eine Überprüfung gilt erst dann als abgeschlossen, wenn die Konformität positiv bestätigt oder erneut hergestellt wurde; sollte die Wiederherstellung der Konformität nicht durch andere Maßnahmen möglich sein, muss der betrachtete Gegenstand außer Betrieb genommen werden, bis die erforderliche Konformität gewährleistet ist. In der Präzisierung ist benannt, wie oft die Überprüfung mindestens vorgenommen werden muss, um die Anforderung zu erfüllen. Steht hier nur ""regelmäßig"", so wird der Zeitabstand von der Institution selbst festgelegt. Dabei ist die Auftrittswahrscheinlichkeit und das Schadensausmaß der im Hinweis benannten Gefährdung zu berücksichtigen. Im Unterschied zum Handlungswort ""überwachen"" ist hier keine kontinuierliche Überprüfung erforderlich, sondern lediglich eine regelmäßig wiederkehrende, z.B. einmal wöchentlich.",,907e4ee6-6eb8-4160-902d-5b037f417e6a
überwachen,überwacht,überwacht wird,zu überwachen,Überwachung,Prozess,"Ein Zielobjekt im Informationsverbund wird kontinuierlich auf seine Konformität mit dem in der Anforderung genannten Zustand überwacht. Wird eine Abweichung festgestellt, so erfolgt eine Benachrichtigung zuständiger Stellen in der Institution.",,43c9fe35-e725-48b1-85d2-29cdcc69ce63
untersagen,untersagt,untersagt wird,zu untersagen,Untersagung,Prozess,"Den Nutzenden wird das in der Anforderung bestimmte Verhalten untersagt. Hierzu wird in Textform ausgehändigt, welches Verhalten zu welchen Bedingungen untersagt ist und dass bei Verstößen mit arbeitsrechtlichen Maßnahmen zu rechnen ist. Stellt die Institution das verbotene Verhalten fest, so ergreift sie Maßnahmen, um es zu beenden. Das Handlungswort wird nur verwendet, wenn es sich auf Nutzende als Zielobjekt bezieht. In der Regel wird es in Kombination mit der Sensibilisierungspraktik verwendet. ""Untersagen"" wird nicht für andere Betrachtungsgegenstände oder Zielobjekte verwendet.","verbiete, verhinder, verwehre, verweiger, vorenthalte",6789d951-1904-4753-a1db-ee1c4e18aeed
verankern,verankert,verankert wird,zu verankern,Verankerung,Prozess,"Die Praktik gewährleistet die Nutzung oder Durchführung einer bestimmten Verfahrensweise oder die Umsetzung einer bestimmten Vorgabe. Damit ist gemeint, dass ein bestimmtes Verfahren verwendet wird und dass der Prozess diese Verwendung initiiert und sicherstellt. Beschreibt das <Ergebnis> einen Zielzustand, so bedeutet dies, dass dieser Zielzustand erreichen sein muss. Solange der Zielzustand nicht erreicht ist, darf das fragliche Zielobjekt nicht verwendet werden bzw. das betroffene Verfahren nicht weiter ausgeführt werden.","aufsetze, beschließe, entscheide, erlasse, festsetze, festlege, verfüge, verhänge, verordne, vorgebe, vorschreibe, vorsehe, fixiere, reglementiere, entscheide",f8ba5e7f-9eac-4f04-8638-586bdcdc64f4
vereinbaren,vereinbart,vereinbart wird,zu vereinbaren,Vereinbarung,Prozess,"Der in der Anforderung benannte Praktik verlangt, dass eine bestimmte Fähigkeit oder ein bestimmter Zustand erreicht wird, für den typischerweise eine Mitwirkung Dritter erforderlich ist. Liegt die Fähigkeit oder der Zustand nicht vor, so müssen Maßnahmen ergriffen werden bis dies der Fall ist, bzw. darf das nicht-konforme Zielobjekt so lange nicht zum Einsatz im Informationsverbund kommen, bis Konformität wiederhergestellt ist. In der Regel wird ""fordern"" im Zusammenhang mit Anforderungsdokumenten (z. B. dem Anforderungskatalog für Software) oder bei Verträgen mit anderen Institutionen verwendet.

Um die Anforderung zu erfüllen muss die Institution auch sicherstellen, dass Sie die von Dritten bereitgestellte Ressource auch entsprechend zum Einsatz bringt. Wird z.B. bei Vertragsverhandlungen von Lieferanten eine Liste der Netzverbindungen gefordert, so muss diese Liste dann von der Instiution selbst auch auf Auffälligkeiten kontrolliert werden und darf nicht nur ""im Schrank verschwinden"".","abmache, abspreche, aushandel, ausmache, vertraglich, einige, übereinkomme, verabrede, sich verständige, übereinkomme, abrede, abstimme",e86734d6-a7a3-4d66-8c64-0d20c5917ed8
verschlüsseln,verschlüsselt,verschlüsselt wird,zu verschlüsseln,Verschlüsselung,Automatisiert,"Verschlüsseln bedeutet hier, Daten mit kryptographischen Verfahren so zu transformieren, dass sie ohne den passenden Schlüssel für Unbefugte nicht lesbar sind. Dabei umfasst Verschlüsselung im modernen sicherheitstechnischen Sinn nicht nur die Vertraulichkeit der Daten (Schutz vor Einsichtnahme), sondern auch eine Integritäts- und Authentizitätsprüfung (z.B. wird bei Transport- oder Festplattenverschlüsselung auch die Integrität sichergestellt). Technisch wird dies typischerweise durch authentifizierte Verschlüsselung (z. B. AES-GCM, ChaCha20-Poly1305) oder durch Kombination von Verschlüsselung mit kryptographischen Prüfsummen (MAC, HMAC) erreicht. Für weitere Details siehe BSI TR-02102.",chiffiere,4dc9ef92-2124-449a-9a99-61095d271599
zuweisen,zugewiesen,zugewiesen wird,zuzuweisen,Zuweisung,Prozess,"Einer Entität wird eine bestimmte Aufgabe, Verantwortung oder Ressource gezielt zugeteilt. Beispielweise wird einem Mitarbeitenden eine bestimmte Rolle oder Aufgabe zugewiesen. Bei der Zuweisung von Ressourcen (Budget, Speicherplatz, usw.) ist darauf zu achten, dass die Ressourcen voraussichtlich auch zur Erreichung des Zwecks ausreichend sind.",,bdb029e3-9154-4f33-a74b-5055a1ce4020
