Bezeichnung,Beschreibung,Kategorie,Zielgruppe,bisher im IT-Grundschutz
Tätigkeits- & Rollenbeschreibung,"Die Tätigkeits- und Rollenbeschreibung definiert die Aufgaben, Kompetenzen und Verantwortlichkeiten einzelner Rollen im Unternehmen. Sie schafft Klarheit darüber, wie Verantwortlichkeiten im Rahmen des Informationssicherheits-Managementsystems verteilt sind, und unterstützt die eindeutige Zuweisung von Pflichten und die Ausschreibung von Stellen. Nicht berücksichtigt werden übergeordnete Organisationsstrukturen oder strategische Unternehmensziele. Der Fokus liegt auf der konkreten Darstellung einzelner Rollen und ihrer Tätigkeiten, um Transparenz und Verbindlichkeit bei Zuständigkeiten zu schaffen und die Handlungsfähigkeit in der Praxis sicherzustellen.",Betrieb & Prozesse,Prozessverantwortliche,
Inventar Berechtigungssysteme,"Das Inventar der Berechtigungssysteme gibt einen Überblick über die eingesetzten Systeme und Verfahren zur Verwaltung von Zugriffsrechten. Es dokumentiert die relevanten Plattformen, ihre Funktionen und die organisatorischen Zuständigkeiten. Ziel ist es, Transparenz über die eingesetzte Berechtigungsstruktur zu schaffen und deren sichere Handhabung nachvollziehbar zu gestalten. Nicht enthalten sind die individuellen Berechtigungen einzelner Zugangskonten. Der Schwerpunkt liegt auf der Erfassung und Beschreibung der Systeme, mit denen Berechtigungen gesteuert, überwacht und regelmäßig überprüft werden, um Missbrauch und unbefugten Zugriff wirksam zu verhindern.",Technisches Management,Prozessverantwortliche,
Notfallhandbuch,"Das Notfallhandbuch beschreibt die Vorgehensweise zur strukturierten Reaktion auf schwerwiegende Störungen, Sicherheitsvorfälle oder Ausfälle (z.B. Ransomware-Angriff, Ausfall eines Rechenzentrums). Es bietet klare Handlungsanweisungen, um Schäden zu begrenzen, die Verfügbarkeit kritischer Prozesse sicherzustellen und den Geschäftsbetrieb schnellstmöglich wiederherzustellen. Nicht enthalten sind präventive Maßnahmen oder organisatorische Regelungen des Normalbetriebs. Der Fokus liegt auf den Abläufen, Zuständigkeiten und Kommunikationswegen, die im Ernstfall verbindlich einzuhalten sind, damit auch für nicht-Spezialisten oder externe Vertreter unter Zeitdruck ein koordiniertes und wirksames Handeln gewährleistet ist.",Betrieb & Prozesse,Mitarbeitende,
BC-Leitlinie,"Die BC-Leitlinie (Business Continuity Leitlinie) legt die Grundsätze und Rahmenbedingungen für das Business Continuity Management fest. Sie definiert die Zielsetzung, Verantwortlichkeiten und die wesentlichen Verfahren und Regelungen der Vorsorge und Reaktionsfähigkeit des Unternehmens bei Unterbrechungen. Nicht enthalten sind detaillierte Notfallpläne oder operative Wiederanlaufmaßnahmen. Der Schwerpunkt liegt auf den übergeordneten Vorgaben, die sicherstellen, dass Kontinuität systematisch geplant, gesteuert und regelmäßig überprüft wird.",Betrieb & Prozesse,Prozessverantwortliche,
Betriebshandbuch,"Das Betriebshandbuch enthät die produktspezifische Dokumentation eines bestimmten IT-Systems oder einer Anwendung. Sie kann vom Hersteller bereitgestellt oder für eine spezifische Eigenentwicklung von der Institution selbst erstellte sein. Zum Inhalt gehören technische Details zur Installation, Konfiguration und den Funktionalitäten. Das Betriebshandbuch ist eine wichtige Informationsquelle für das IT-Betriebskonzept und das Notfallhandbuch.",Betrieb & Prozesse,Administrierende,
Prozess Dienstleistersteuerung,"Der Prozess der Dienstleistersteuerung beschreibt die systematische Überwachung, Steuerung und Bewertung externer Partner nach Abschluss der Beschaffung und Abnahme des Dienstes. Ziel ist es, die vertraglich vereinbarten Leistungen dauerhaft sicherzustellen, Risiken zu minimieren und die Einhaltung regulatorischer sowie interner Anforderungen kontinuierlich zu überprüfen. Nicht enthalten sind Auswahl, Ausschreibung oder Vertragsabschluss, da diese Schritte im Rahmen des Beschaffungsmanagements geregelt werden. Der Schwerpunkt liegt auf der laufenden Zusammenarbeit mit Dienstleistern, einschließlich Leistungsüberwachung, regelmäßiger Audits und Eskalationsverfahren, um Sicherheit, Qualität und Compliance zuverlässig abzusichern.",Betrieb & Prozesse,Prozessverantwortliche,
Prozess Gebäudemanagement,"Dieser Prozess stellt sicher, dass die physische Umgebung, in der Informationswerte verarbeitet und gespeichert werden, angemessen geschützt ist. Er umfasst alle organisatorischen und technischen Maßnahmen, die erforderlich sind, um unbefugten Zutritt, Beschädigung und Störungen der Geschäftstätigkeit zu verhindern. Dazu gehören die Planung, Umsetzung und Überwachung von physischen Sicherheitskontrollen wie Zutrittsbeschränkungen, Videoüberwachung und Umweltsensorik.",Betrieb & Prozesse,Prozessverantwortliche,
Gebäudedokumentation,"Die Gebäudedokumentation bietet einen detaillierten und aktuellen Überblick über die baulichen und sicherheitstechnischen Gegebenheiten der Unternehmensstandorte. Sie enthält wesentliche Informationen wie Grundrisse, die Lage von Sicherheitsbereichen wie Serverräumen oder Archiven sowie die Verortung kritischer Infrastrukturkomponenten wie Leitungswege, Brandmeldeanlagen und Zutrittskontrollsysteme. Ziel ist die Schaffung einer verlässlichen Informationsgrundlage für Sicherheits-, Notfall- und Betriebsplanungen. Im Gegensatz zu reinen Bauplänen ist diese Dokumentation gezielt auf die Anforderungen der Informationssicherheit und des Business Continuity Managements ausgerichtet. Sie dient als essenzielle Referenz für Risikoanalysen, die Planung von Sicherheitsmaßnahmen und als schnelle Orientierungshilfe im Störungs- oder Notfall. Dadurch wird sichergestellt, dass relevante physische Gegebenheiten bei allen sicherheitsrelevanten Entscheidungen berücksichtigt werden können.",Betrieb & Prozesse,Prozessverantwortliche,
Prozess Identitäts- und Berechtigungsmanagement,"Dieser Prozess regelt den gesamten Lebenszyklus digitaler Identitäten und deren Zugriffsrechte auf IT-Systeme, Anwendungen und Daten. Er stellt sicher, dass jeder Benutzer und jedes technische Konto eindeutig identifizierbar ist und nur die Berechtigungen erhält, die zur Erfüllung der jeweiligen Aufgaben zwingend erforderlich sind (Prinzip der geringsten Rechte). Die Abläufe umfassen die kontrollierte Einrichtung, Änderung und Deaktivierung von Identitäten sowie die regelmäßige Überprüfung der zugewiesenen Rechte.",Betrieb & Prozesse,Prozessverantwortliche,
Prozess Beschaffung,"Dieser Prozess stellt sicher, dass Informationssicherheit ein integraler Bestandteil bei der Anschaffung von Produkten, der Beauftragung von Dienstleistungen und der Auswahl von Lieferanten ist. Er definiert klare Sicherheitsanforderungen, die bereits in der Ausschreibungs- und Auswahlphase berücksichtigt werden müssen, um Risiken durch unsichere Hard- oder Software sowie durch unzuverlässige Partner zu minimieren. Die Einhaltung dieser Vorgaben ist eine verbindliche Voraussetzung für den Abschluss von Verträgen.",Betrieb & Prozesse,Prozessverantwortliche,
Richtlinie zur Risikoanalyse,"Diese Richtlinie etabliert einen systematischen und wiederholbaren Ansatz zur Identifizierung, Bewertung und Behandlung von Informationssicherheitsrisiken. Sie legt die verbindliche Methodik fest, nach der potenzielle Bedrohungen für Unternehmenswerte analysiert und die daraus resultierenden möglichen Schäden bewertet werden. Des Weiteren werden klare Kriterien für die Akzeptanz von Risiken definiert, um eine konsistente und nachvollziehbare Grundlage für alle risikobasierten Entscheidungen zu schaffen.",Risikomanagement,Prozessverantwortliche,
Risikobewertung,"Ergebnis der Risikoanalyse: Dieses Dokument (oder ein Dashboard in einem Tool) enthält die identifizierten Risiken, deren Bewertung (Eintrittswahrscheinlichkeit und Schadensausmaß) und die Entscheidung zur Risikobehandlung (z.B. mindern, akzeptieren, vermeiden, transferieren). Es ist die Entscheidungsgrundlage für die Priorisierung von Sicherheitsmaßnahmen.",Risikomanagement,Prozessverantwortliche,Ergebnisse Risikoanalyse
Prozess Personalmanagement,"Dieser Prozess stellt sicher, dass die Informationssicherheit über den gesamten Lebenszyklus von Mitarbeitenden im Unternehmen fest verankert ist. Er definiert die sicherheitsrelevanten Maßnahmen und Verantwortlichkeiten, beginnend bei der sorgfältigen Überprüfung von Bewerbern, über die Verpflichtung zur Vertraulichkeit bei der Einstellung, die regelmäßigen Sensibilisierungs- und Schulungsmaßnahmen während des Anstellungsverhältnisses bis hin zu einem geordneten Austrittsprozess, der die Rückgabe aller Werte und den Entzug von Berechtigungen regelt. Ziel ist es, die Risiken, die von Personen ausgehen können – ob unbeabsichtigt oder böswillig – systematisch zu minimieren.",Betrieb & Prozesse,Prozessverantwortliche,
Leitungsentscheidung,"Die Leitungsentscheidung ist das formale und offizielle Bekenntnis der obersten Führungsebene zur Einführung, Umsetzung, Aufrechterhaltung und fortlaufenden Verbesserung eines Managementsystems für Informationssicherheit. Sie legitimiert das Vorhaben, stellt die notwendigen Ressourcen bereit und überträgt die erforderlichen Befugnisse an die benannten Rollen, wie die Informationssicherheitsbeauftragte (ISB). Dieses Dokument bildet die unmissverständliche Grundlage, die dem gesamten Sicherheitsprogramm das nötige Gewicht und die erforderliche Durchsetzungskraft im Unternehmen verleiht.",Strategie & Governance,Prozessverantwortliche,
Sicherheitsorganisation,"Dieses Dokument verankert die offizielle Governance-Struktur für das Informationssicherheits-Managementsystem (ISMS). Es legt verbindlich die Rollen, Zuständigkeiten und Befugnisse aller beteiligten Personen und Gremien fest und definiert deren Zusammenwirken. Ziel ist die Schaffung einer klaren und belastbaren Organisationsstruktur, die sicherstellt, dass die strategischen Vorgaben der Leitungsebene wirksam in den operativen Betrieb überführt und alle Compliance-Anforderungen erfüllt werden. Es ist die formale Grundlage, die sicherstellt, dass Informationssicherheit systematisch gesteuert und verantwortet wird. Der Geltungsbereich umfasst dabei nicht nur die Kernbereiche des ISMS, sondern bildet auch gezielt die relevanten Schnittstellen zu angrenzenden Managementdisziplinen wie dem Datenschutz, der physischen Sicherheit oder dem Arbeitsschutz ab. Während die Leitungsentscheidung den Gründungsakt des ISMS darstellt und die grundsätzliche Autorität verleiht, übersetzt die Sicherheitsorganisation diesen Auftrag in eine konkrete, funktionierende Struktur. Anders als ein allgemeiner Prozess wie das Personalmanagement, der operative Tätigkeiten regelt, definiert dieses Dokument die übergeordnete Steuerungs- und Kontrollinstanz für alle sicherheitsrelevanten Aktivitäten in der Institution.",Betrieb & Prozesse,Prozessverantwortliche,(todo)
Detektionskonzept,"Das Detektionskonzept legt die strategische und technische Vorgehensweise fest, um Sicherheitsvorfälle und verdächtige Aktivitäten in der IT-Infrastruktur proaktiv zu erkennen. Es beschreibt, welche Datenquellen (z.B. Log-Dateien, Netzwerkverkehr, Systemmetriken) überwacht, welche Werkzeuge (z.B. SIEM, IDS/IPS) eingesetzt und welche Methoden zur Analyse und Korrelation von Ereignissen verwendet werden. Das primäre Ziel ist es, Angriffe, Kompromittierungen oder Richtlinienverstöße so früh wie möglich zu identifizieren, um den potenziellen Schaden zu begrenzen. Im Gegensatz zu einem Notfall- oder Wiederanlaufplan, der regelt, wie auf einen bereits eingetretenen und erkannten Vorfall reagiert wird, setzt das Detektionskonzept früher an. Es konzentriert sich auf die Phase vor und während eines Angriffs und beantwortet die Frage: ""Wie stellen wir sicher, dass wir einen relevanten Vorfall überhaupt bemerken?"". Es bildet somit die Grundlage für einen effektiven Incident-Response-Prozess, denn nur was erkannt wird, kann auch bewältigt werden.",Sicherheitsmanagement,Prozessverantwortliche,
Auslagerungsregister,"Enthält für alle outgesourcten Prozesse den jeweiligen Anbieter, Verträge, letzte Prüfzeitpunkte und Ergebnisse der Prüfungen.",Entwicklung & Beschaffung,Prozessverantwortliche,
Leistungsbeschreibung,"Dokument, das die Beschaffungskriterien an das zu beschaffende Zielobjekt enthält. Sinnvollerweise auf Vorlage basierend.",Entwicklung & Beschaffung,Prozessverantwortliche,
Entwicklungsdokumentation,"Enthält für eine selbst entwickelte Software die Architektur, User Stories, Bedienführung, etc.",Entwicklung & Beschaffung,Prozessverantwortliche,
Liste der Hersteller und Dienstleister,Diese Liste enthält alle für das ISMS relevanten Vertragspartner der Institution für IT-Produkte und Dienstleistungen.,Entwicklung & Beschaffung,Prozessverantwortliche,
Freigegebene Ausnahmegenehmigung,"Die Handhabung von Ausnahmen von den etablierten Informationssicherheitsrichtlinien und -standards ist ein entscheidendes Verfahren, um die betriebliche Flexibilität zu gewährleisten, ohne die Sicherheit unkontrolliert zu gefährden. Eine systematische Vorgehensweise stellt sicher, dass jede Abweichung bewusst, bewertet und nur von autorisierten Stellen genehmigt wird. So wird ein nachvollziehbarer und transparenter Umgang mit Risiken ermöglicht, der die Integrität des gesamten Managementsystems für Informationssicherheit aufrechterhält.",Strategie & Governance,Mitarbeitende,
Verträge,"Die Sicherstellung der Informationssicherheit erstreckt sich über die eigenen Unternehmensgrenzen hinaus und schließt alle externen Parteien ein, die an der Verarbeitung, Speicherung oder Übertragung von Informationen beteiligt sind. Eine klare und rechtlich verbindliche Regelung der Sicherheitsanforderungen in Verträgen ist unerlässlich, um die Vertraulichkeit, Integrität und Verfügbarkeit von Informationen in der gesamten Lieferkette zu gewährleisten. Dies schafft eine solide Grundlage für eine sichere Zusammenarbeit und minimiert die Risiken, die durch Dritte entstehen können. Die vertraglichen Vereinbarungen legen die Informationssicherheitsanforderungen und -pflichten für Lieferanten, Dienstleister und Partner eindeutig fest. Dies umfasst unter anderem Vertraulichkeitsverpflichtungen, die Einhaltung von Datenschutzbestimmungen, die Vereinbarung von Service Level Agreements (SLAs) für sicherheitsrelevante Dienste, Regelungen zu Zutritts- und Zugriffsrechten sowie Audit- und Kontrollrechte. Dadurch wird eine durchgängige und nachweisbare Einhaltung der Sicherheitsstandards sichergestellt.",Entwicklung & Beschaffung,Prozessverantwortliche,
Abnahmeprotokoll,"Die Integration von externen Dienstleistungen oder Produkten birgt spezifische Risiken, die sorgfältig gesteuert werden müssen, bevor eine produktive Nutzung erfolgt. Eine formale Abnahme ist daher ein entscheidender Schritt, um zu überprüfen und zu bestätigen, dass die von einem externen Lieferanten erbrachte Leistung den vertraglich vereinbarten Anforderungen, insbesondere den Informationssicherheitsanforderungen, vollumfänglich entspricht. So wird ein qualitätsgesicherter und sicherer Übergang der externen Leistung in die eigene Organisation gewährleistet. Dieses Protokoll dokumentiert die Ergebnisse der Abnahmeprüfung und dient als formaler Nachweis für die Erfüllung der vertraglichen Pflichten durch den Lieferanten. Es listet die durchgeführten Tests, die erzielten Ergebnisse sowie eventuell festgestellte Mängel oder Abweichungen von der Beauftragung auf. Mit der Unterzeichnung durch die verantwortlichen Parteien wird die Leistung des externen Partners formell angenommen und die damit verbundene Verantwortung geht auf die eigene Institution über.",Entwicklung & Beschaffung,Prozessverantwortliche,
Übungsplan,"Die theoretische Planung von Notfallmaßnahmen und die Erstellung von Sicherheitskonzepten sind wichtige Grundlagen, aber erst durch regelmäßige praktische Übungen kann deren Wirksamkeit überprüft und verbessert werden. Der Übungsplan ist die Basis, um die Handlungsfähigkeit in sicherheitsrelevanten Szenarien, wie z.B. bei einem IT-Sicherheitsvorfall oder einem Systemausfall, systematisch zu trainieren und zu optimieren. Ziel ist es, die Reaktionsfähigkeit der Institution kontinuierlich zu stärken. Praktischerweise kann der Übungsplan direkt in einem digitalen Kalender gepflegt werden, damit die regelmäßigen Übungen für alle Beteiligten stets sichtbar sind und in die Terminplanung konsequent einbezogen werden.",Information & Sensibilisierung,Nutzende,
Arbeitsanweisung,"Die konsistente und korrekte Ausführung von sicherheitsrelevanten Tätigkeiten ist ein fundamentaler Baustein zur Aufrechterhaltung der Informationssicherheit im täglichen Betrieb. Um Fehlerquellen zu minimieren und eine gleichbleibend hohe Qualität zu gewährleisten, sind klare und verständliche Anleitungen für wiederkehrende Aufgaben unerlässlich. Diese schaffen Verbindlichkeit und unterstützen die Mitarbeitenden dabei, ihre Aufgaben sicher und effizient zu erfüllen.",Information & Sensibilisierung,Mitarbeitende,
Realisierungsplan,"Die Umsetzung von Maßnahmen zur Risikobehandlung ist ein zentraler Bestandteil des Informationssicherheits-Managementsystems, um die identifizierten Risiken auf ein akzeptables Niveau zu senken. Ein systematischer und nachvollziehbarer Plan ist erforderlich, um diesen Prozess effektiv zu steuern, den Fortschritt zu überwachen und sicherzustellen, dass die Maßnahmen termingerecht und im Rahmen der budgetierten Ressourcen implementiert werden. Dies schafft Transparenz und Verbindlichkeit bei der Verbesserung der Informationssicherheit.",Risikomanagement,Prozessverantwortliche,
Schulungsplan,"Das Bewusstsein und die Kompetenz der Mitarbeitenden sind entscheidende Faktoren für die Wirksamkeit von Informationssicherheitsmaßnahmen, denn der Mensch ist oft die erste Verteidigungslinie. Eine systematische Planung von Schulungs- und Sensibilisierungsmaßnahmen ist daher unerlässlich, um sicherzustellen, dass alle Mitarbeitenden über das notwendige Wissen verfügen, um ihre Aufgaben sicher zu erfüllen und Sicherheitsrisiken zu erkennen und zu vermeiden. Der Plan definiert die Ziele, Inhalte und Zielgruppen für alle Schulungsaktivitäten im Bereich der Informationssicherheit. Er legt fest, welche Themen (z.B. Phishing, Passwortsicherheit, Datenschutz) in welchen Formaten (z.B. Online-Training, Präsenzschulung) und in welchen Intervallen vermittelt werden. Zudem werden Verantwortlichkeiten für die Durchführung und Methoden zur Messung des Schulungserfolgs festgelegt, um die Wirksamkeit der Maßnahmen kontinuierlich zu überprüfen und zu verbessern.",Information & Sensibilisierung,Prozessverantwortliche,
Übersicht der Kommunikationspartner,"Ein geregelter und sicherer Informationsaustausch mit internen und externen Stellen ist für die Aufrechterhaltung der Geschäftsprozesse und der Informationssicherheit von wesentlicher Bedeutung. Um die Vertraulichkeit, Integrität und Verfügbarkeit der ausgetauschten Informationen zu gewährleisten, ist es notwendig, einen klaren Überblick über die relevanten Kommunikationsbeziehungen und die dafür geltenden Sicherheitsanforderungen zu haben. Diese Übersicht dokumentiert systematisch alle wichtigen internen und externen Kommunikationspartner sowie die Art und den Zweck des Informationsaustausches. Sie legt fest, welche Informationen mit wem über welche Kanäle ausgetauscht werden und welche spezifischen Sicherheitsmaßnahmen dabei zu beachten sind. Dies schafft Transparenz über die Informationsflüsse und stellt sicher, dass für jede Kommunikationsbeziehung angemessene Schutzmaßnahmen etabliert sind.",Strategie & Governance,Prozessverantwortliche,
Prüfplan,"Mit dem Prüfplan wird nachgewiesen, dass die Erfüllung der Anforderung regelmäßig geprüft wird. Hier reicht z. B. bereits ein wiederkehrender Kalendereintrag.",Information & Sensibilisierung,Prozessverantwortliche,
Verfahrensbeschreibung,???,???,???,
Arbeitsvertrag,"Die Grundlage für eine sichere Institution sind loyale und vertrauenswürdige Mitarbeitende, die ihre Verantwortung für den Schutz von Informationen verstehen und wahrnehmen. Die rechtliche und formale Etablierung des Arbeitsverhältnisses ist der erste und entscheidende Schritt, um die Weichen für eine sicherheitsbewusste Zusammenarbeit zu stellen. Hier werden die gegenseitigen Rechte und Pflichten klar definiert und die Einhaltung der internen Sicherheitsvorgaben als fundamentaler Bestandteil der täglichen Arbeit verankert. Neben den allgemeinen arbeitsrechtlichen Regelungen werden hier die wesentlichen Verpflichtungen zur Informationssicherheit rechtsverbindlich festgelegt. Dies umfasst insbesondere die Wahrung der Vertraulichkeit von Betriebs- und Geschäftsgeheimnissen, die Anerkennung und Einhaltung der geltenden Sicherheitsrichtlinien sowie die Pflichten im Umgang mit Daten. Damit wird von Beginn an eine klare und durchsetzbare Grundlage für sicherheitskonformes Verhalten geschaffen.",Information & Sensibilisierung,Mitarbeitende,
Inventar Berechtigungen,"Enthält Identitäten mit den zugewiesenen Nutzendenkonten und Berechtigungen. Zweckmäßig ist es das Inventar digitalisiert zu führen, z.B. mit einem Identity Management System oder Verzeichnisdienst.",Inventarisierung & Asset Management,Inventarisierung & Asset Management,Prozessverantwortliche
Inventar IT-Systeme,"Liste aller Hardware mit Lieferant, Hersteller und Zuordnung des Schutzbedarfes",Inventarisierung & Asset Management,Administrierende,
Inventar Informationen,Liste aller Kategorien von schützenswerten Informationen mit Zuordnung des Schutzbedarfes,Inventarisierung & Asset Management,Administrierende,
Inventar Anwendungen,"Liste aller Software mit Lieferant, Hersteller und Zuordnung des Schutzbedarfes.",Inventarisierung & Asset Management,Administrierende,
Inventar Standorte,Liste der Standorte des Informationsverbundes und der relevanten Räume mit Zuordnung des Schutzbedarfes.,Inventarisierung & Asset Management,Administrierende,
Audit Log,"Automatische Protokollierung sicherheitsrelevanter Ereignisse. Dient bei Sicherheitsvorfällen zur Erkennung und Behandlung, sowie als Nachweis.",Sicherheitsmanagement,Administrierende,
Richtlinie zur Lenkung von Dokumenten und Aufzeichnungen,"Ein wirksames Managementsystem für Informationssicherheit (ISMS) basiert auf einer strukturierten, nachvollziehbaren und aktuellen Dokumentation. Um die Integrität und Verlässlichkeit des ISMS zu gewährleisten, ist ein systematischer Prozess zur Steuerung aller relevanten Dokumente und Aufzeichnungen unerlässlich. Dies stellt sicher, dass alle Mitarbeitenden stets auf die gültigen Versionen von Vorgaben zugreifen und dass die Nachweise über durchgeführte Aktivitäten (Aufzeichnungen) sicher und auffindbar verwaltet werden. Es werden verbindliche Regeln für den gesamten Lebenszyklus von Dokumenten und Aufzeichnungen des ISMS festgelegt – von der Erstellung über die Prüfung, Genehmigung, Veröffentlichung und Verteilung bis hin zur Archivierung und sicheren Vernichtung. Die Regelungen umfassen klare Vorgaben zur Kennzeichnung, Versionierung, Aufbewahrungsfristen und zu den Verantwortlichkeiten für die Pflege. So wird die Konsistenz, Verfügbarkeit und Nachvollziehbarkeit der gesamten ISMS-Dokumentation sichergestellt und die Grundlage für erfolgreiche Audits geschaffen.",Strategie & Governance,Mitarbeitende,
Verzeichnis der Schwachstellen,"Enthält alle Schwachstellen, die in der Entwicklung, Nutzung oder beim Pentest von Hard- oder Software gefunden wurden, sowie deren Bearbeitungsfortschritt und Zeitpunkte. Kann auch mit Unterstützung von Werkzeugen wie Bugtracker geführt werden.",Sicherheitsmanagement,Prozessverantwortliche,Schwachstellenregister
Behandlung von Sicherheitsvorfällen,"Incident Response Plan: Konkreter Plan, der festlegt, wie auf Sicherheitsvorfälle reagiert wird. Er definiert die Phasen eines Vorfalls (Erkennung, Eindämmung, Beseitigung, Wiederherstellung, Lessons Learned), die Rollen und Verantwortlichkeiten im Incident Response Team (IRT/CSIRT) sowie die Meldeketten an das Management und ggf. an Behörden.",Sicherheitsmanagement,Prozessverantwortliche,
Liste der Verpflichtungen,"Compliance-Register: Enthält eine umfassende Liste aller für das Unternehmen relevanten gesetzlichen (z.B. DSGVO, IT-SiG), vertraglichen (z.B. Kundenvereinbarungen, SLAs) und regulatorischen Anforderungen an die Informationssicherheit. Jede Anforderung sollte einem oder mehreren internen Kontrollen oder Richtlinien zugeordnet sein.",Strategie & Governance,Mitarbeitende,
